Current Package List - 09.21.2023

[bbrittle@ArchSurface ~]$ pacman -Q
a52dec 0.8.0-2
gobject-introspection-runtime 1.78.1-1
goocanvas 3.0.0-4
google-chrome 117.0.5938.88-1
gparted 1.5.0-1
gperf 3.1-5
gperftools 2.12-1
gpgme 1.22.0-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphicsmagick 1.3.41-3
graphite 1:1.3.14-3
graphviz 9.0.0-1
grep 3.11-1
grim 1.4.1-1
groff 1.23.0-5
grub 2:2.12rc1-1
grub-customizer 5.2.3-1
gsettings-desktop-schemas 44.0-1
gsettings-qt 0.2-1
gsfonts 20200910-3
gsl 2.7.1-3
gsm 1.0.22-1
gsound 1.0.3-3
gspell 1.12.2-1
gssdp 1.6.2-1
gst-plugin-libcamera 0.1.0-2
gst-plugins-bad-libs 1.22.5-2
gst-plugins-base 1.22.5-2
gst-plugins-base-libs 1.22.5-2
gstreamer 1.22.5-2
gtest 1.14.0-1
gtk-doc 1.33.2-3
gtk-engine-murrine 0.98.2-4
gtk-layer-shell 0.8.1-1
gtk-update-icon-cache 1:4.12.1-1
gtk2 2.24.33-3
gtk3 1:3.24.38-1
gtk4 1:4.12.1-1
gtkmm3 3.24.8-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
gtksourceview5 5.8.0-1
gts 0.7.6.121130-2
guile 3.0.9-1
gumbo-parser 0.10.1-2
gupnp 1:1.6.5-1
gupnp-igd 1.6.0-1
gvfs 1.52.0-1
gzip 1.13-2
harfbuzz 8.2.1-1
harfbuzz-icu 8.2.1-1
hdf5-openmpi 1.14.2-1
hdparm 9.65-1
heroic-games-launcher-bin 2.9.2-2
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.0.7-1
hivex 1.3.23-2
http-parser 2.9.4-1
httpfs2-2gbplus 0.1.5-1
hunspell 1.7.2-1
hwdata 0.374-1
hwloc 2.9.1-1
hyphen 2.8.8-5
i3status 2.14-1
iana-etc 20230907-1
icu 73.2-2
iio-sensor-proxy 3.5-1
ijs 0.35-5
imagemagick 7.1.1.17-1
imath 3.1.9-2
imv 4.4.0-2
iniparser 4.1-4
inkscape 1.3-3
intel-ucode 20230808-1
intltool 0.51.0-6
iproute2 6.5.0-1
ipscan 3.9.1-2
iptables 1:1.8.9-1
iptsd 1.3.2-1
iputils 20221126-2
iso-codes 4.15.0-1
iw 5.19-2
iwd 2.8-1
jack2 1.9.22-1
jansson 2.14-2
jasper 4.0.0-1
java-environment-common 3-5
java-runtime-common 3-5
jbig2dec 0.19-1
jbigkit 2.1-7
jdk-openjdk 20.0.2.u9-3
jemalloc 1:5.3.0-3
jfsutils 1.1.15-8
jq 1.7-1
jre-openjdk 20.0.2.u9-3
jre-openjdk-headless 20.0.2.u9-3
js102 102.15.0-1
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
jxrlib 0.2.4-2
kanshi 1.4.0-1
karchive 5.110.0-1
kauth 5.110.0-1
kbd 2.6.2-1
kcalc 23.08.1-1
kcodecs 5.110.0-1
kconfig 5.110.0-1
kconfigwidgets 5.110.0-1
kcoreaddons 5.110.0-1
kcrash 5.110.0-1
kdbusaddons 5.110.0-1
kdesu 5.110.0-1
kernel-headers-musl 4.19.88-2
keyutils 1.6.3-2
kglobalaccel 5.110.0-1
kguiaddons 5.110.0-1
khal 0.11.2-2
ki18n 5.110.0-1
kiconthemes 5.110.0-1
kitemviews 5.110.0-1
kitty 0.29.2-2
kitty-shell-integration 0.29.2-2
kitty-terminfo 0.29.2-2
kmod 30-3
knotifications 5.110.0-1
kpty 5.110.0-1
krb5 1.20.1-1
kwidgetsaddons 5.110.0-1
kwindowsystem 5.110.0-1
kxmlgui 5.110.0-1
kyotocabinet 1.2.79-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.11.0-2
lcms2 2.15-1
ldns 1.8.3-2
lensfun 1:0.3.4-3
less 1:643-1
lib2geom 1.3-1
lib32-acl 2.3.1-2
lib32-alsa-lib 1.2.10-2
lib32-alsa-plugins 1.2.7.1-2
lib32-at-spi2-core 2.50.0-1
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-12
lib32-bzip2 1.0.8-3
lib32-cairo 1.17.8-2
lib32-colord 1.4.6-1
lib32-curl 8.3.0-1
lib32-dbus 1.14.10-1
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.5.0-2
lib32-flac 1.4.3-1
lib32-fontconfig 2:2.14.2-1
lib32-freetype2 2.13.2-1
lib32-fribidi 1.0.13-2
lib32-gcc-libs 13.2.1-3
lib32-gdk-pixbuf2 2.42.10-2
lib32-gettext 0.21.1-1
lib32-giflib 5.2.1-1
lib32-glib2 2.78.0-2
lib32-glibc 2.38-3
lib32-gmp 6.2.1-1
lib32-gnutls 3.8.1-1
lib32-gst-plugins-base-libs 1.22.5-1
lib32-gstreamer 1.22.5-1
lib32-gtk3 1:3.24.38-1
lib32-harfbuzz 8.2.1-1
lib32-icu 73.2-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.20.1-1
lib32-lcms2 2.15-1
lib32-libasyncns 1:0.8+r3+g68cd5af-2
lib32-libcanberra 1:0.30+r2+gc0620e4-2
