Current Package List - 09.21.2023

[bbrittle@ArchSurface ~]$ pacman -Q
a52dec 0.8.0-2
perl-module-runtime 0.016-3
perl-moo 2.005005-2
perl-net-dbus 1.2.0-5
perl-net-http 6.23-2
perl-number-bytes-human 0.11-7
perl-params-util 1.102-4
perl-proc-processtable 0.636-1
perl-proc-simple 1.32-9
perl-readonly 2.05-4
perl-role-tiny 2.002004-4
perl-sort-naturally 1.03-9
perl-sub-exporter 0.990-2
perl-sub-exporter-progressive 0.001013-9
perl-sub-install 0.928-9
perl-sub-quote 1:2.006008-2
perl-sub-uplevel 0.2800-4
perl-test-warn 0.37-1
perl-text-iconv 1.7-23
perl-timedate 2.33-5
perl-tree-dag-node 1.32-1
perl-try-tiny 0.31-3
perl-uri 5.20-1
perl-www-mechanize 2.17-1
perl-www-robotrules 6.02-12
perl-x11-protocol 0.56-14
perl-xml-namespacesupport 1.12-5
perl-xml-parser 2.46-5
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-5
perl-xml-sax-expat 0.51-7
perl-xml-simple 2.25-8
perl-xml-twig 3.52-11
phinger-cursors 1.1-3
pinentry 1.2.1-1
pipewire 1:0.3.80-1
pixman 0.42.2-1
pkcs11-helper 1.29.0-2
pkgconf 1.8.1-1
pkgfile 21-2
playerctl 2.4.1-3
plexamp-appimage 4.8.3-1
plocate 1.1.19-1
pokemon-cursor 1.0.0-1
polkit 123-1
polkit-explorer-git 15.fac8d70-3
polkit-gnome 0.105-10
polkit-qt5 0.114.0-1
poppler 23.08.0-1
poppler-data 0.4.12-1
poppler-glib 23.08.0-1
popt 1.19-1
portaudio 1:19.7.0-2
potrace 1.16-2
procps-ng 4.0.4-2
protobuf 24.2-2
psmisc 23.6-1
psuinfo 1.2-2
pugixml 1.13-1
pulseaudio 16.1-6
pulseaudio-alsa 1:1.2.7.1-2
pulsemixer 1.5.1-4
putty 0.79-1
pyside2 5.15.10-2
pyside2-tools 5.15.10-2
python 3.11.5-2
python-annotated-types 0.5.0-1
python-anytree 2.9.0-1
python-appdirs 1.4.4-9
python-atomicwrites 1.4.1-3
python-attrs 22.2.0-3
python-autocommand 2.2.2-4
python-babel 2.12.1-1
python-beautifulsoup4 4.12.2-1
python-build 1.0.1-1
python-cachecontrol 1:0.13.1-1
python-cairo 1.24.0-1
python-certifi 2023.07.22-1
python-cffi 1.15.1-4
python-chardet 5.2.0-1
python-click 8.1.7-1
python-click-log 0.4.0-3
python-clickgen 2.1.8-1
python-configobj 5.0.8-4
python-contourpy 1.1.1-1
python-coverage 6.5.0-5
python-cryptography 41.0.3-1
python-cssselect 1.2.0-3
python-cycler 0.11.0-3
python-dasbus 1.7-1
python-dateutil 2.8.2-5
python-distro 1.8.0-3
python-distutils-extra 2.39-11
python-docopt 0.6.2-12
python-docutils 1:0.20.1-1
python-evdev 1.6.1-2
python-fastjsonschema 2.18.0-1
python-filelock 3.12.2-1
python-fonttools 4.42.1-1
python-future 0.18.3-2
python-gitdb 1:4.0.10-2
python-gitpython 3.1.36-1
python-gobject 3.46.0-1
python-html2text 2020.1.16-9
python-humanize 4.7.0-1
python-i3ipc 2.2.1-4
python-icalendar 5.0.8-1
python-idna 3.4-3
python-imagesize 1.4.1-4
python-inflect 7.0.0-2
python-iniconfig 2.0.0-4
python-installer 0.7.0-3
python-jaraco.context 4.3.0-3
python-jaraco.functools 3.9.0-1
python-jaraco.text 3.11.1-3
python-jinja 1:3.1.2-4
python-keyutils 0.6-9
python-kiwisolver 1.4.5-1
python-levenshtein 0.21.1-1
python-libevdev 0.11-2
python-lockfile 0.12.2-12
python-lxml 4.9.2-3
python-mako 1.2.4-3
python-markdown 3.4.4-1
python-markupsafe 2.1.3-1
python-matplotlib 3.7.3-1
python-moddb 0.9.0-1
python-more-itertools 10.1.0-1
python-msgpack 1.0.5-1
python-netifaces 0.11.0-4
python-numpy 1.25.2-1
python-ordered-set 4.1.0-4
python-packaging 23.1-1
python-parsedatetime 2.6-6
python-pillow 10.0.1-1
python-pip 23.2.1-1
python-pivy 0.6.8-2
python-platformdirs 3.10.0-1
python-pluggy 1.3.0-1
python-ply 3.11-12
python-psutil 5.9.5-1
python-pycparser 2.21-5
python-pydantic 2.3.0-1
python-pydantic-core 1:2.6.3-1
python-pygments 2.16.1-1
python-pyinotify 0.9.6-12
python-pyparsing 3.0.9-3
python-pyproject-hooks 1.0.0-5
python-pyqt5 5.15.9-2
python-pyqt5-sip 12.12.2-1
python-pyrate-limiter 3.1.0-1
python-pyserial 3.5-5
python-pytest 7.4.2-1
python-pytz 2023.3.post1-1
python-pytz-deprecation-shim 0.1.0.post0-6
python-pyudev 0.24.1-1
python-pyxdg 0.28-2
python-rapidfuzz 3.2.0-1
python-requests 2.28.2-4
python-send2trash 1.8.2-1
python-setuptools 1:68.0.0-1
python-shiboken2 5.15.10-2
python-six 1.16.0-8
python-smmap 1:5.0.1-1
python-snowballstemmer 2.2.0-5
python-soupsieve 2.5-1
python-sphinx 7.2.6-1
python-sphinx-alabaster-theme 0.7.13-4
python-sphinxcontrib-applehelp 1.0.7-1
python-sphinxcontrib-devhelp 1.0.5-1
python-sphinxcontrib-htmlhelp 2.0.4-1
python-sphinxcontrib-jsmath 1.0.1-15
python-sphinxcontrib-qthelp 1.0.6-1
python-sphinxcontrib-serializinghtml 1.1.9-1
python-systemd 235-2
python-toml 0.10.2-9
python-tomli 2.0.1-3
python-toolz 0.12.0-3
python-tqdm 4.66.1-2
python-trove-classifiers 2023.8.7-1
python-typing_extensions 4.8.0-1
python-tzdata 2023.3-3
python-tzlocal 1:5.0.1-1
python-urllib3 1.26.15-1
python-urwid 2.1.2.r63.g3c21a42-1
python-validate-pyproject 0.13-1
python-websocket-client 1.6.3-1
python-wheel 0.40.0-3
python-xlib 0.33-2
python-yaml 6.0.1-2
python-zstandard 0.21.0-2
python2 2.7.18-8
qemu-audio-spice 8.1.0-2
qemu-base 8.1.0-2
qemu-block-curl 8.1.0-2
qemu-block-dmg 8.1.0-2
qemu-block-nfs 8.1.0-2
qemu-block-ssh 8.1.0-2
qemu-chardev-spice 8.1.0-2
qemu-common 8.1.0-2
qemu-hw-display-qxl 8.1.0-2
qemu-hw-display-virtio-gpu 8.1.0-2
qemu-hw-display-virtio-gpu-gl 8.1.0-2
qemu-hw-display-virtio-gpu-pci 8.1.0-2
qemu-hw-display-virtio-gpu-pci-gl 8.1.0-2
qemu-hw-display-virtio-vga 8.1.0-2
qemu-hw-display-virtio-vga-gl 8.1.0-2
qemu-hw-s390x-virtio-gpu-ccw 8.1.0-2
qemu-hw-usb-host 8.1.0-2
qemu-hw-usb-redirect 8.1.0-2
qemu-hw-usb-smartcard 8.1.0-2
qemu-img 8.1.0-2
qemu-pr-helper 8.1.0-2
qemu-system-x86 8.1.0-2
qemu-system-x86-firmware 8.1.0-2
qemu-tools 8.1.0-2
qemu-ui-curses 8.1.0-2
qemu-ui-opengl 8.1.0-2
qemu-ui-spice-app 8.1.0-2
qemu-ui-spice-core 8.1.0-2
qhull 2020.2-4
qimgv 1.0.3+alpha+94+ge2675f13-1
qrencode 4.1.1-2
qt5-base 5.15.10+kde+r158-1
qt5-declarative 5.15.10+kde+r31-1
qt5-doc 5.15.10-1
qt5-imageformats 5.15.10+kde+r9-2
qt5-location 5.15.10+kde+r4-2
qt5-multimedia 5.15.10+kde+r3-1
qt5-quickcontrols2 5.15.10+kde+r6-1
qt5-sensors 5.15.10-1
qt5-serialport 5.15.10-1
qt5-speech 5.15.10+kde+r1-1
qt5-svg 5.15.10+kde+r8-1
qt5-tools 5.15.10+kde+r3-2
qt5-translations 5.15.10-1
qt5-wayland 5.15.10+kde+r58-1
qt5-webchannel 5.15.10+kde+r3-1
qt5-webengine 5.15.15-1
qt5-webkit 5.212.0alpha4-20
qt5-websockets 5.15.10+kde+r2-1
qt5-x11extras 5.15.10-1
qt5-xmlpatterns 5.15.10-1
qt6-base 6.5.2-1
qt6-svg 6.5.2-1
qt6-translations 6.5.2-1
ragel 6.10-3
ranger 1.9.3-9
raptor 2.0.16-3
rasqal 1:0.9.33-6
rav1e 0.6.6-1
re2 1:20230901-2
readline 8.2.001-2
redland 1:1.0.17-8
reiserfsprogs 3.6.27-4
remmina 1:1.4.32-1
remote-desktop-manager 2023.2.1.6-1
rhash 1.4.3-1
rnnoise 0.4.1-1
rsync 3.2.7-4
rtkit 0.13-2
rubberband 3.3.0-1
ruby 3.0.6-1
ruby-abbrev 0.1.0-4
ruby-base64 0.1.1-4
ruby-benchmark 0.2.0-4
ruby-bigdecimal 3.1.2-4
ruby-bundledgems 3.0.6-1
ruby-bundler 2.4.13-1
ruby-cgi 0.3.6-1
ruby-csv 3.2.5-4
ruby-date 3.2.2-4
ruby-delegate 0.2.0-4
ruby-did_you_mean 1.6.1-4
ruby-digest 3.1.1-1
ruby-drb 2.1.0-5
ruby-english 0.7.1-5
ruby-erb 4.0.2-2
ruby-etc 1.3.0-6
ruby-fcntl 1.0.1-4
ruby-fiddle 1.1.0-4
ruby-fileutils 1.6.0-4
ruby-find 0.1.1-4
ruby-forwardable 1.3.2-6
ruby-getoptlong 0.1.1-3
ruby-io-console 0.5.11-3
ruby-io-nonblock 0.1.0-3
ruby-io-wait 0.2.3-4
ruby-ipaddr 1.2.4-3
ruby-irb 1.4.2-1
ruby-json 2.6.3-1
ruby-logger 1.5.1-3
ruby-minitest 5.16.3-1
ruby-mutex_m 0.1.1-3
ruby-net-http 0.2.2-2
ruby-open-uri 0.2.0-3
ruby-power_assert 2.0.3-1
ruby-psych 4.0.6-1
ruby-racc 1.6.0-3
ruby-rake 13.0.6-1
ruby-rdoc 6.4.0-4
ruby-reline 0.3.1-2
ruby-rexml 3.2.6-1
ruby-ruby2_keywords 0.0.5-1
ruby-stdlib 3.0.6-1
ruby-stringio 3.0.2-4
ruby-test-unit 3.6.1-1
ruby-time 0.2.0-4
ruby-tmpdir 0.1.2-3
ruby-uri 0.12.1-1
rubygems 3.3.25-1
ruffle-git 1:r10305.ba5eb9532-1
run-parts 5.5-1
rust 1:1.72.1-1
rxvt-unicode 9.31-4
rxvt-unicode-terminfo 9.31-4
scdoc 1.11.2-5
scons 4.5.2-1
scour 0.38.2-3
sdl12-compat 1.2.64-1
sdl2 2.28.3-1
seabios 1.16.2-2
seatd 0.8.0-1
sed 4.9-3
selectdefaultapplication-git r22.c752df6-1
sfsexp 1.4.1-1
shaderc 2023.4-2
shadow 4.13-3
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
sleuthkit 4.12.1-1
slurp 1.4.0-1
smartgit 22.1.7-1
snappy 1.1.9-2
sndio 1.9.0-1
soqt 1.6.0-4
sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-11
sov 0.92b-1
spdlog-git 1.12.0.r9.gcedfeeb9-1
speex 1.2.1-1
speexdsp 1.2.1-1
spice 0.15.2-1
spice-protocol 0.14.4-1
spirv-tools 2022.4-1
sqlite 3.43.1-1
squashfs-tools 4.6.1-1
squeekboard 1.22.0-1
srt 1.5.3-1
startup-notification 0.12-8
steam 1.0.0.78-2
strace 6.5-1
sudo 1.9.14.p3-1
suitesparse 7.2.0-3
supermin 5.3.2-1
surface-control-bin 0.4.5-1
svt-av1 1.7.0-1
swaybg 1.2.0-1
swayfx 0.3.2-1
swayfx-debug 0.3.2-1
swayidle 1.8.0-1
swaylock-effects-git r403.4b54b85-1
swaync 0.9.0-1
swayosd-git r33.b14c838-1
synology-drive 3.3.0_15082-1
sysfsutils 2.1.1-1
syslinux 6.04.pre2.r11.gbf6db5b4-3
systemd 254.4-1
systemd-libs 254.4-1
systemd-sysvcompat 254.4-1
t1lib 5.1.2-8
t1utils 1.42-2
taglib 1.13.1-1
talloc 2.4.1-1
tar 1.35-1
tcl 8.6.13-1
tdb 1.4.9-1
texinfo 7.0.3-1
texlive-bin 2023.66984-16
thin-provisioning-tools 1.0.6-1
thunar 4.18.7-1
thunar-archive-plugin 0.5.1-1
thunar-volman 4.18.0-1
tinyxml2 9.0.0-2
tk 8.6.13-2
tlp 1.6.1-1
tmux 3.3_a-7
todoman 4.3.2-1
tpm2-tss 4.0.1-1
tracker3 3.6.0-1
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-4
ttf-liberation 2.1.5-1
ttf-material-design-icons 4.0.0-1
ttf-ms-win10-auto 10.0.19042.789-5
ttf-ms-win10-auto-japanese 10.0.19042.789-5
ttf-ms-win10-auto-korean 10.0.19042.789-5
ttf-ms-win10-auto-other 10.0.19042.789-5
ttf-ms-win10-auto-sea 10.0.19042.789-5
ttf-ms-win10-auto-thai 10.0.19042.789-5
ttf-ms-win10-auto-zh_cn 10.0.19042.789-5
ttf-ms-win10-auto-zh_tw 10.0.19042.789-5
ttf-roboto 2.138-4
ttf-ubuntu-font-family 1:0.83-1
typescript 5.2.2-1
tzdata 2023c-2
uchardet 0.0.8-2
udiskie 2.4.2-2
udisks2 2.10.1-1
unrar 1:6.2.11-1
unzip 6.0-19
update-grub 0.0.1-8
upower 1.90.2-1
usbmuxd 1.1.1-3
usbredir 0.13.0-1
usbutils 015-3
util-linux 2.39.2-1
util-linux-libs 2.39.2-1
v4l-utils 1.24.1-2
vala 0.56.13-1
vde2 2.3.3-3
ventoy 1.0.95-1
verdict 1.4.1-1
vid.stab 1.1.1-1
vim 9.0.1882-1
vim-runtime 9.0.1882-1
virglrenderer 0.10.4-1
virtiofsd 1.8.0-1
visual-studio-code-bin 1.82.2-1
vlc 3.0.18-16
vmaf 2.3.1-1
vmware-keymaps 1.0-3
vmware-workstation16 16.2.5-6
volume_key 0.3.12-8
vte-common 0.74.0-1
vte3 0.74.0-1
vtk 9.2.6-8
vulkan-headers 1:1.3.264-2
vulkan-icd-loader 1.3.263-1
vulkan-intel 1:23.1.7-1
wavemon 0.9.4-1
wavpack 5.6.0-1
wayland 1.22.0-1
wayland-protocols 1.32-1
wayvnc 0.6.2-2
webkit2gtk 2.42.0-1
webkit2gtk-4.1 2.42.0-1
webrtc-audio-processing 0.3.1-4
wev 1.0.0-12
weylus 0.11.4-2
wget 1.21.4-1
which 2.21-6
wine-staging 8.15-2
wireplumber 0.4.14-1
wl-clipboard 1:2.2.1-1
wlroots 0.16.2-2
wmctrl 1.07-6
wofer-git r110.14c738d-1
woff2 1.0.2-4
wolfssl 5.6.3-3
wpa_supplicant 2:2.10-8
wpa_supplicant_gui 2.10-1
wpebackend-fdo 1.14.2-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xapian-core 1:1.4.23-1
xarchiver 0.5.4.21-1
xawtv 3.107-3
xbitmaps 1.1.3-1
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcur2png 0.7.1-7
xdg-dbus-proxy 0.1.5-1
xdg-desktop-portal 1.16.0-3
xdg-desktop-portal-wlr 0.7.0-1
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+45+g301a1a4-1
xerces-c 3.2.4-3
xf86-input-libinput 1.4.0-1
xf86-video-vmware 13.4.0-1
xfconf 4.18.1-2
xfsprogs 6.4.0-1
xinput_calibrator 0.7.5-3
xkeyboard-config 2.39-1
xmlsec 1.2.37-1
xorg-bdftopcf 1.1.1-1
xorg-font-util 1.4.1-1
xorg-fonts-alias-misc 1.0.5-1
xorg-fonts-encodings 1.0.7-1
xorg-fonts-misc 1.0.4-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.8-2
xorg-server-common 21.1.8-2
xorg-server-xvfb 21.1.8-2
xorg-setxkbmap 1.3.4-1
xorg-xauth 1.1.2-1
xorg-xcursorgen 1.0.8-1
xorg-xhost 1.0.9-1
xorg-xkbcomp 1.4.6-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xset 1.2.5-1
xorg-xwayland 23.2.1-1
xorgproto 2023.2-1
xournalpp 1.2.1-1
xvidcore 1.3.7-2
xxhash 0.8.2-1
xz 5.4.4-1
yajl 2.1.0-5
yaml-cpp 0.8.0-1
yara 4.3.1-1
yarn 1.22.19-1
yay-git 12.1.3.r2.g299aa1e-1
zathura 0.5.2-2
zathura-cb 0.1.10-2
zathura-pdf-mupdf 0.4.1-2
zathura-ps 0.2.7-2
zenity 3.44.2-1
zeromq 4.3.4-4
zimg 3.0.5-1
zip 3.0-10
zlib 1:1.3-1
zstd 1.5.5-1
zvbi 0.2.42-1
zxing-cpp 2.1.0-1
zziplib 0.13.72-2
[bbrittle@ArchSurface ~]$
